epoch,loss,mean_absolute_error,mean_absolute_percentage_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_root_mean_squared_error
0,1.0075558423995972,0.7425228953361511,94.4316635131836,0.849261999130249,1.4813040494918823,1.1175713539123535,72.54872131347656,1.125307559967041
1,0.30143871903419495,0.22337280213832855,30.601634979248047,0.34448376297950745,0.4721110463142395,0.5620783567428589,36.0655632019043,0.57559734582901
2,0.12777173519134521,0.10166680067777634,15.234502792358398,0.14450398087501526,0.2581184506416321,0.41134992241859436,26.29096794128418,0.4246714115142822
3,0.07786394655704498,0.09334563463926315,14.22648811340332,0.13016536831855774,0.18088138103485107,0.35750117897987366,22.83588218688965,0.3696843087673187
4,0.05098371580243111,0.08603694289922714,12.547577857971191,0.1216481402516365,0.1334608495235443,0.3146246671676636,20.072423934936523,0.3263412117958069
5,0.03600379824638367,0.08014912158250809,11.810669898986816,0.11312758177518845,0.10588427633047104,0.2853671908378601,18.187440872192383,0.2967761158943176
6,0.027575155720114708,0.07651868462562561,11.343070983886719,0.10696866363286972,0.0871853157877922,0.26156899333000183,16.65203857421875,0.2728695571422577
7,0.02311651222407818,0.07497189193964005,11.184136390686035,0.10539081692695618,0.07680243253707886,0.24823613464832306,15.79769229888916,0.2592616081237793
8,0.01926777884364128,0.0710567831993103,10.690404891967773,0.09962525963783264,0.06664231419563293,0.2319876253604889,14.748516082763672,0.24301771819591522
9,0.017647182568907738,0.07123181223869324,10.883761405944824,0.10050627589225769,0.06114573031663895,0.2235584855079651,14.20817756652832,0.23444132506847382
10,0.015433358028531075,0.06864099949598312,10.459257125854492,0.09576069563627243,0.05037321522831917,0.20117343962192535,12.75684642791748,0.21243634819984436
11,0.01451195776462555,0.06845708936452866,10.321887016296387,0.09577372670173645,0.044374555349349976,0.18843793869018555,11.93793773651123,0.19966205954551697
12,0.01349548064172268,0.06812134385108948,10.35862922668457,0.09436660259962082,0.03954048082232475,0.17770825326442719,11.250589370727539,0.1887933909893036
13,0.012893789447844028,0.06700709462165833,10.495851516723633,0.09402486681938171,0.038156941533088684,0.17590108513832092,11.146482467651367,0.18640373647212982
14,0.011953010223805904,0.0648258775472641,10.017948150634766,0.09182582050561905,0.03418802469968796,0.1658981740474701,10.500375747680664,0.17653048038482666
15,0.011363203637301922,0.06450724601745605,9.847818374633789,0.09025893360376358,0.0242202989757061,0.13470380008220673,8.482870101928711,0.14628852903842926
16,0.011025489307940006,0.06438811868429184,10.100319862365723,0.08988884091377258,0.027883784845471382,0.14928823709487915,9.444318771362305,0.1593761295080185
17,0.011006582528352737,0.06563647091388702,9.986949920654297,0.09199775010347366,0.027652760967612267,0.14934542775154114,9.445277214050293,0.15953686833381653
18,0.010422179475426674,0.06445138156414032,9.91063117980957,0.0892094299197197,0.02163483016192913,0.12957525253295898,8.178886413574219,0.13970167934894562
19,0.010305734351277351,0.06468917429447174,9.742729187011719,0.08997484296560287,0.02017551101744175,0.1249198168516159,7.879531383514404,0.13509684801101685
20,0.010061931796371937,0.06361619383096695,9.573596000671387,0.08932074904441833,0.016857920214533806,0.11219992488622665,7.062959671020508,0.12255121767520905
21,0.009714691899716854,0.06327544897794724,9.775537490844727,0.0881662592291832,0.017907636240124702,0.1174941211938858,7.409237384796143,0.1273658275604248
22,0.009662434458732605,0.06307195127010345,9.671282768249512,0.08853144943714142,0.01688951812684536,0.11397826671600342,7.187804222106934,0.1236453652381897
23,0.009556420147418976,0.06364791840314865,9.584200859069824,0.08845679461956024,0.016474831849336624,0.11279571056365967,7.114186763763428,0.1223343089222908
24,0.009286480955779552,0.0635133683681488,9.731659889221191,0.08739499002695084,0.012169239111244678,0.09288638830184937,5.827143669128418,0.1034722849726677
25,0.009132454171776772,0.062385957688093185,9.387207984924316,0.08696086704730988,0.014498429372906685,0.10527640581130981,6.636837005615234,0.11459345370531082
26,0.008748876862227917,0.06191479042172432,9.652763366699219,0.0850355252623558,0.015617715194821358,0.1110856905579567,7.021511077880859,0.11968343704938889
27,0.00908817257732153,0.06234550103545189,9.443419456481934,0.08770447969436646,0.011700144037604332,0.09225273132324219,5.793851852416992,0.1023077666759491
28,0.009456063620746136,0.0639798641204834,9.761979103088379,0.08949987590312958,0.010375783778727055,0.08610349893569946,5.410142421722412,0.09560614079236984
29,0.008742871694266796,0.06191880255937576,9.568007469177246,0.0861482173204422,0.010828840546309948,0.08882254362106323,5.582357883453369,0.09837068617343903
30,0.009339500218629837,0.06408293545246124,9.808856964111328,0.08952465653419495,0.010873264633119106,0.09005146473646164,5.675421237945557,0.0986902266740799
31,0.009007634595036507,0.06369806826114655,10.203371047973633,0.08818468451499939,0.01205060537904501,0.09629000723361969,6.075317859649658,0.10480772703886032
32,0.008632341399788857,0.06157452240586281,9.530417442321777,0.08603529632091522,0.011502059176564217,0.09391605854034424,5.926569938659668,0.10227300971746445
33,0.0090244235470891,0.06302852183580399,9.6293363571167,0.08845280855894089,0.00964386947453022,0.08408491313457489,5.2927727699279785,0.09281362593173981
34,0.009030044078826904,0.06298401951789856,9.830610275268555,0.08851451426744461,0.009173366241157055,0.08225370943546295,5.187379837036133,0.09032294154167175
35,0.00883611012250185,0.06286424398422241,9.547672271728516,0.08778445422649384,0.007015423383563757,0.0684516429901123,4.291171073913574,0.07765966653823853
36,0.009038141928613186,0.06327355653047562,9.581564903259277,0.08873191475868225,0.00729804951697588,0.07110551744699478,4.47055721282959,0.07957251369953156
37,0.008922743611037731,0.06326229125261307,9.537280082702637,0.08834706991910934,0.008851150050759315,0.08142544329166412,5.142368316650391,0.08900918066501617
38,0.009451773948967457,0.06556738168001175,9.959044456481934,0.09130936115980148,0.008124995976686478,0.07733729481697083,4.882500171661377,0.08488132059574127
39,0.00911004189401865,0.06411455571651459,9.889997482299805,0.08954767137765884,0.006605509668588638,0.0673215240240097,4.2352375984191895,0.07545486092567444
40,0.008852762170135975,0.06265313178300858,9.175363540649414,0.08804251998662949,0.006749505642801523,0.06863939762115479,4.322702884674072,0.07653069496154785
41,0.009019086137413979,0.0639745220541954,9.975679397583008,0.08884917199611664,0.0069837686605751514,0.07106219232082367,4.492754936218262,0.0780867338180542
42,0.009491942822933197,0.06545128673315048,10.23207950592041,0.09177898615598679,0.006628628820180893,0.06859137117862701,4.329050064086914,0.07592695206403732
43,0.009472026489675045,0.06501570343971252,9.816617965698242,0.09156621992588043,0.006195086985826492,0.06586615741252899,4.158769607543945,0.07304678112268448
44,0.009428368881344795,0.06446468830108643,9.498884201049805,0.09133661538362503,0.003883769502863288,0.04662734270095825,2.921041965484619,0.05494159460067749
45,0.00924702174961567,0.06352613866329193,9.610755920410156,0.09032400697469711,0.005760272033512592,0.06298478692770004,3.976317882537842,0.07012421637773514
46,0.009166914969682693,0.06387845426797867,10.06873607635498,0.09003414213657379,0.004592181649059057,0.0536932535469532,3.379072904586792,0.0612621046602726
